Function: strcmp
Variant: default
                                    generic_strcmp	__strcmp_lsx	__strcmp_aligned
========================================================================================================================
    length=3, align1=0, align2=16352:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
length=3, align1=16352, align2=16368:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=3, align1=16368, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=3, align1=16336, align2=0:         0.52	        0.44 ( 15.39%)	        0.46 ( 10.83%)	
    length=3, align1=0, align2=16336:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=3, align1=16336, align2=16360:         0.52	        0.56 ( -7.70%)	        0.44 ( 15.40%)	
length=3, align1=16360, align2=16336:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.27%)	
    length=3, align1=16320, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=3, align1=0, align2=16320:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
length=3, align1=16320, align2=16352:         0.52	        0.44 ( 15.27%)	        0.44 ( 15.40%)	
length=3, align1=16352, align2=16320:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.36%)	
    length=3, align1=16304, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=3, align1=0, align2=16304:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
length=3, align1=16304, align2=16344:         0.52	        0.56 ( -7.69%)	        0.44 ( 15.42%)	
length=3, align1=16344, align2=16304:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.39%)	
    length=3, align1=16288, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=3, align1=0, align2=16288:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.40%)	
length=3, align1=16288, align2=16336:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=3, align1=16336, align2=16288:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=3, align1=16272, align2=0:         0.54	        0.44 ( 18.87%)	        0.44 ( 18.86%)	
    length=3, align1=0, align2=16272:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.36%)	
length=3, align1=16272, align2=16328:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.37%)	
length=3, align1=16328, align2=16272:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.38%)	
        length=4, align1=0, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.37%)	
        length=4, align1=4, align2=0:         1.16	        0.56 ( 51.72%)	        0.86 ( 25.86%)	
        length=4, align1=0, align2=4:         0.84	        0.56 ( 33.32%)	        0.86 ( -2.38%)	
  length=4, align1=8192, align2=8191:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
  length=4, align1=8191, align2=8192:         0.88	        0.68 ( 22.72%)	        0.86 (  2.28%)	
    length=4, align1=16380, align2=0:         1.16	        0.68 ( 41.38%)	        0.86 ( 25.88%)	
    length=4, align1=0, align2=16380:         0.84	        0.68 ( 19.03%)	        0.86 ( -2.38%)	
    length=4, align1=16368, align2=0:         0.52	        0.44 ( 15.38%)	        0.46 ( 11.79%)	
    length=4, align1=0, align2=16368:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.23%)	
length=4, align1=16368, align2=16376:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.39%)	
length=4, align1=16376, align2=16368:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.40%)	
    length=4, align1=16352, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.37%)	
    length=4, align1=0, align2=16352:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=4, align1=16352, align2=16368:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=4, align1=16368, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=4, align1=16336, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
    length=4, align1=0, align2=16336:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.38%)	
length=4, align1=16336, align2=16360:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
length=4, align1=16360, align2=16336:         0.52	        0.57 (-10.13%)	        0.44 ( 15.37%)	
    length=4, align1=16320, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.40%)	
    length=4, align1=0, align2=16320:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=4, align1=16320, align2=16352:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
length=4, align1=16352, align2=16320:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=4, align1=16304, align2=0:         0.55	        0.44 ( 19.28%)	        0.44 ( 19.27%)	
    length=4, align1=0, align2=16304:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.37%)	
length=4, align1=16304, align2=16344:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
length=4, align1=16344, align2=16304:         0.52	        0.56 ( -7.73%)	        0.44 ( 15.36%)	
    length=4, align1=16288, align2=0:         0.52	        0.44 ( 15.12%)	        0.44 ( 15.39%)	
    length=4, align1=0, align2=16288:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=4, align1=16288, align2=16336:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.38%)	
length=4, align1=16336, align2=16288:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=4, align1=16272, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=4, align1=0, align2=16272:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=4, align1=16272, align2=16328:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.38%)	
length=4, align1=16328, align2=16272:         0.52	        0.57 ( -9.32%)	        0.44 ( 15.39%)	
        length=5, align1=0, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
        length=5, align1=5, align2=0:         1.04	        0.56 ( 46.16%)	        0.86 ( 17.25%)	
        length=5, align1=0, align2=5:         0.84	        0.59 ( 29.90%)	        0.86 ( -2.39%)	
  length=5, align1=8192, align2=8191:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
  length=5, align1=8191, align2=8192:         0.84	        0.68 ( 19.05%)	        0.86 ( -2.36%)	
    length=5, align1=16379, align2=0:         1.28	        0.68 ( 46.88%)	        0.86 ( 32.83%)	
    length=5, align1=0, align2=16379:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
    length=5, align1=16368, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
    length=5, align1=0, align2=16368:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
length=5, align1=16368, align2=16376:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.37%)	
length=5, align1=16376, align2=16368:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
    length=5, align1=16352, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=5, align1=0, align2=16352:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
length=5, align1=16352, align2=16368:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=5, align1=16368, align2=16352:         0.52	        0.44 ( 15.39%)	        0.46 ( 10.69%)	
    length=5, align1=16336, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=5, align1=0, align2=16336:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=5, align1=16336, align2=16360:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
length=5, align1=16360, align2=16336:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.40%)	
    length=5, align1=16320, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
    length=5, align1=0, align2=16320:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=5, align1=16320, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=5, align1=16352, align2=16320:         0.52	        0.44 ( 15.41%)	        0.44 ( 15.41%)	
    length=5, align1=16304, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
    length=5, align1=0, align2=16304:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=5, align1=16304, align2=16344:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
length=5, align1=16344, align2=16304:         0.52	        0.57 ( -9.69%)	        0.44 ( 15.51%)	
    length=5, align1=16288, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=5, align1=0, align2=16288:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=5, align1=16288, align2=16336:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=5, align1=16336, align2=16288:         0.55	        0.44 ( 19.55%)	        0.44 ( 19.56%)	
    length=5, align1=16272, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=5, align1=0, align2=16272:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=5, align1=16272, align2=16328:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.38%)	
length=5, align1=16328, align2=16272:         0.52	        0.56 ( -8.58%)	        0.44 ( 15.41%)	
        length=6, align1=0, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
        length=6, align1=6, align2=0:         0.96	        0.56 ( 41.68%)	        0.86 ( 10.44%)	
        length=6, align1=0, align2=6:         0.84	        0.56 ( 33.32%)	        0.86 ( -2.38%)	
  length=6, align1=8192, align2=8191:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
