Function: strnlen
Variant: 
                                    generic_strnlen	__strnlen_lasx	__strnlen_lsx	__strnlen_aligned
========================================================================================================================
len=5000, maxlen=256, max_char=127, align=1:         3.92	        0.96 ( 75.50%)	        1.08 ( 72.45%)	        3.16 ( 19.39%)	
len=512, maxlen=5000, max_char=127, align=0:         8.01	        1.13 ( 85.93%)	        1.72 ( 78.53%)	        5.74 ( 28.37%)	
len=512, maxlen=5000, max_char=127, align=1:         8.01	        1.09 ( 86.39%)	        1.72 ( 78.52%)	        5.78 ( 27.87%)	
len=5000, maxlen=512, max_char=127, align=0:         7.76	        1.64 ( 78.86%)	        1.64 ( 78.86%)	        5.81 ( 25.08%)	
len=5000, maxlen=512, max_char=127, align=1:         7.85	        1.37 ( 82.49%)	        1.72 ( 78.07%)	        5.74 ( 26.80%)	
len=1024, maxlen=5000, max_char=127, align=0:        14.16	        1.70 ( 87.99%)	        3.00 ( 78.81%)	       12.01 ( 15.16%)	
len=1024, maxlen=5000, max_char=127, align=1:        14.06	        1.70 ( 87.91%)	        3.00 ( 78.66%)	       11.92 ( 15.21%)	
len=5000, maxlen=1024, max_char=127, align=0:        13.74	        1.85 ( 86.57%)	        2.92 ( 78.72%)	       12.15 ( 11.57%)	
len=5000, maxlen=1024, max_char=127, align=1:        13.76	        1.77 ( 87.13%)	        3.00 ( 78.20%)	       11.91 ( 13.46%)	
len=16, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=16, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=48, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=48, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=48, max_char=127, align=0:         1.20	        0.44 ( 63.34%)	        0.40 ( 66.68%)	        0.64 ( 46.68%)	
len=16, maxlen=48, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.67%)	        0.64 ( 46.67%)	
len=80, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=80, maxlen=16, max_char=127, align=64:         1.15	        0.44 ( 61.72%)	        0.40 ( 65.21%)	        0.48 ( 58.24%)	
len=16, maxlen=80, max_char=127, align=0:         1.20	        0.44 ( 63.32%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=16, maxlen=80, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=112, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=112, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=16, maxlen=112, max_char=127, align=0:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=16, maxlen=112, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.67%)	
len=144, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=144, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=16, maxlen=144, max_char=127, align=0:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.67%)	        0.64 ( 46.67%)	
len=16, maxlen=144, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=176, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=176, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=176, max_char=127, align=0:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.67%)	
len=16, maxlen=176, max_char=127, align=64:         1.20	        0.44 ( 63.32%)	        0.40 ( 66.67%)	        0.64 ( 46.66%)	
len=208, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.13%)	
len=208, maxlen=16, max_char=127, align=64:         1.16	        0.44 ( 62.06%)	        0.40 ( 65.51%)	        0.48 ( 58.61%)	
len=16, maxlen=208, max_char=127, align=0:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=16, maxlen=208, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.67%)	
len=240, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=240, maxlen=16, max_char=127, align=64:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=16, maxlen=240, max_char=127, align=0:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.49%)	
len=16, maxlen=240, max_char=127, align=64:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.66%)	        0.64 ( 46.67%)	
len=272, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
