Function: strchr
Variant: 
                                    generic_strchr	__strchr_lasx	__strchr_lsx	__strchr_aligned
========================================================================================================================
     length=256, pos=64, alignment=5:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.59%)	        1.42 ( 13.03%)	
     length=256, pos=64, alignment=5:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=6:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.30%)	
     length=256, pos=64, alignment=6:         1.63	        0.61 ( 62.35%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=7:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=7:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.42 ( 12.90%)	
    length=512, pos=256, alignment=0:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.44%)	
    length=512, pos=256, alignment=0:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.39%)	
   length=512, pos=256, alignment=16:         4.68	        1.12 ( 76.08%)	        2.33 ( 50.17%)	        4.10 ( 12.46%)	
   length=512, pos=256, alignment=16:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.15%)	        4.10 ( 12.52%)	
   length=512, pos=256, alignment=32:         4.68	        1.12 ( 76.07%)	        2.34 ( 50.09%)	        4.10 ( 12.50%)	
   length=512, pos=256, alignment=32:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.45%)	
   length=512, pos=256, alignment=48:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.32%)	
   length=512, pos=256, alignment=48:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.12%)	        4.10 ( 12.39%)	
   length=512, pos=256, alignment=64:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.43%)	
   length=512, pos=256, alignment=64:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.37%)	
   length=512, pos=256, alignment=80:         4.68	        1.12 ( 76.08%)	        2.33 ( 50.17%)	        4.10 ( 12.44%)	
   length=512, pos=256, alignment=80:         4.68	        1.12 ( 76.08%)	        2.33 ( 50.16%)	        4.11 ( 12.26%)	
   length=512, pos=256, alignment=96:         4.68	        1.12 ( 76.03%)	        2.33 ( 50.14%)	        4.10 ( 12.38%)	
   length=512, pos=256, alignment=96:         4.68	        1.12 ( 76.06%)	        2.34 ( 50.10%)	        4.10 ( 12.36%)	
  length=512, pos=256, alignment=112:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.36%)	
  length=512, pos=256, alignment=112:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.15%)	        4.10 ( 12.46%)	
        length=1, pos=0, alignment=0:         0.76	        0.40 ( 47.36%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=1, pos=0, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=2, pos=1, alignment=0:         0.76	        0.40 ( 46.94%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=2, pos=1, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=3, pos=2, alignment=0:         0.77	        0.40 ( 47.81%)	        0.40 ( 47.81%)	        0.48 ( 37.37%)	
        length=3, pos=2, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=4, pos=3, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.70%)	
        length=4, pos=3, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=5, pos=4, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.85%)	
        length=5, pos=4, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.49 ( 35.13%)	
        length=6, pos=5, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=6, pos=5, alignment=0:         0.76	        0.40 ( 47.20%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=7, pos=6, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=7, pos=6, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.85%)	
        length=8, pos=7, alignment=0:         0.76	        0.40 ( 47.36%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=8, pos=7, alignment=0:         0.76	        0.40 ( 47.37%)	        0.41 ( 46.05%)	        0.48 ( 36.84%)	
        length=9, pos=8, alignment=0:         0.80	        0.40 ( 50.01%)	        0.40 ( 50.01%)	        0.58 ( 27.50%)	
        length=9, pos=8, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.58 ( 27.50%)	
       length=10, pos=9, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
       length=10, pos=9, alignment=0:         0.80	        0.40 ( 49.99%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=11, pos=10, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 24.72%)	
      length=11, pos=10, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=12, pos=11, alignment=0:         0.80	        0.40 ( 50.06%)	        0.40 ( 50.06%)	        0.58 ( 27.67%)	
      length=12, pos=11, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
