Function: memchr
Variant: 
                                    generic_memchr	__memchr_lasx	__memchr_lsx	__memchr_aligned
========================================================================================================================
align=8196, pos=4, len=5, seek_char=23, invert_pos=0:         0.83	        0.40 ( 51.80%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=8196, pos=4, len=5, seek_char=0, invert_pos=0:         0.83	        0.40 ( 51.81%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=8192, pos=4, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=8192, pos=4, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.27%)	        0.44 ( 31.27%)	
align=8196, pos=4, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8196, pos=4, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=16369, pos=4, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.27%)	
align=16369, pos=4, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.06%)	        0.44 ( 31.25%)	
align=16369, pos=4, len=5, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=16369, pos=4, len=5, seek_char=0, invert_pos=0:         0.66	        0.40 ( 39.61%)	        0.44 ( 33.55%)	        0.44 ( 33.56%)	
align=0, pos=5, len=6, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=0, pos=5, len=6, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=5, pos=5, len=6, seek_char=23, invert_pos=0:         0.83	        0.40 ( 51.80%)	        0.44 ( 47.00%)	        0.52 ( 37.36%)	
align=5, pos=5, len=6, seek_char=0, invert_pos=0:         0.83	        0.40 ( 51.81%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=0, pos=5, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=0, pos=5, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=5, pos=5, len=4, seek_char=23, invert_pos=0:         0.83	        0.40 ( 51.80%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=5, pos=5, len=4, seek_char=0, invert_pos=0:         0.83	        0.40 ( 51.81%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=8192, pos=5, len=6, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=8192, pos=5, len=6, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.47%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8197, pos=5, len=6, seek_char=23, invert_pos=0:         0.84	        0.40 ( 52.60%)	        0.44 ( 47.86%)	        0.52 ( 38.39%)	
align=8197, pos=5, len=6, seek_char=0, invert_pos=0:         0.83	        0.40 ( 51.81%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
